Date,dmt_v2_equity,baseline_equity,buy_hold_equity,position
2023-11-24,588.30414,556.38214,556.38214,0.0
2023-11-27,588.30414,555.38007,555.38007,0.0
2023-11-28,588.30414,555.93,555.93,0.0
2023-11-29,588.30414,555.53894,555.53894,0.0
2023-11-30,588.30414,557.7264,557.7264,0.0
2023-12-01,588.30414,561.0258,561.0258,0.0
2023-12-04,588.30414,558.0807,558.0807,0.0
2023-12-05,588.30414,557.97076,557.97076,0.0
2023-12-06,588.30414,555.7223,555.7223,0.0
2023-12-07,588.30414,559.96265,559.96265,0.0
2023-12-08,588.30414,562.37,562.37,0.0
2023-12-11,588.30414,564.5574,564.5574,0.0
2023-12-12,588.30414,567.1358,567.1358,0.0
2023-12-13,595.3887,574.95667,574.95667,0.8732525110244751
2023-12-14,595.3887,576.8019,576.8019,0.0
2023-12-15,595.3887,575.8521,575.8521,0.0
2023-12-18,598.3133,579.0914,579.0914,0.8732525110244751
2023-12-19,601.4904,582.61273,582.61273,0.8732525110244751
2023-12-20,601.4904,574.5393,574.5393,0.0
2023-12-21,601.4904,579.98706,579.98706,0.0
2023-12-22,601.4904,581.1527,581.1527,0.0
2023-12-26,601.4904,583.6066,583.6066,0.0
2023-12-27,601.4904,584.6618,584.6618,0.0
2023-12-28,601.4904,584.8827,584.8827,0.0
2023-12-29,601.4904,583.1895,583.1895,0.0
2024-01-02,601.4904,579.9258,579.9258,0.0
2024-01-03,601.4904,575.1897,575.1897,0.0
2024-01-04,601.4904,573.3369,573.3369,0.0
2024-01-05,601.4904,574.1222,574.1222,0.0
2024-01-08,601.4904,582.3183,582.3183,0.0
2024-01-09,601.4904,581.4349,581.4349,0.0
2024-01-10,601.4904,584.72314,584.72314,0.0
2024-01-11,601.4904,584.4656,584.4656,0.0
2024-01-12,601.4904,584.8704,584.8704,0.0
2024-01-16,599.5621,582.7232,582.7232,0.8732525110244751
2024-01-17,596.65173,579.4841,579.4841,0.8732525706291199
2024-01-18,596.65173,584.6372,584.6372,0.0
2024-01-19,596.65173,591.9254,591.9254,0.0
2024-01-22,596.65173,593.17694,593.17694,0.0
2024-01-23,598.17126,594.9069,594.9069,0.8732525110244751
2024-01-24,598.7423,595.55725,595.55725,0.8732525110244751
2024-01-25,598.7423,598.79645,598.79645,0.0
2024-01-26,598.07806,598.03577,598.03577,0.8732525110244751
2024-01-29,598.07806,602.77185,602.77185,0.0
2024-01-30,598.07806,602.3056,602.3056,0.0
2024-01-31,598.07806,592.47754,592.47754,0.0
2024-02-01,598.07806,600.232,600.232,0.0
2024-02-02,598.07806,606.55084,606.55084,0.0
2024-02-05,598.07806,604.3423,604.3423,0.0
2024-02-06,598.07806,606.0969,606.0969,0.0
2024-02-07,598.07806,611.152,611.152,0.0
2024-02-08,598.07806,611.4219,611.4219,0.0
2024-02-09,598.07806,614.9555,614.9555,0.0
2024-02-12,597.8488,614.6856,614.6856,0.8732525110244751
2024-02-13,597.8488,606.2195,606.2195,0.0
2024-02-14,597.8488,611.7285,611.7285,0.0
2024-02-15,597.8488,615.9493,615.9493,0.0
2024-02-16,597.8488,612.8819,612.8819,0.0
2024-02-20,597.8488,609.5078,609.5078,0.0
2024-02-21,597.8488,610.0599,610.0599,0.0
2024-02-22,597.8488,622.68536,622.68536,0.0
2024-02-23,597.8488,623.1148,623.1148,0.0
2024-02-26,597.8488,620.83264,620.83264,0.0
2024-02-27,597.8488,621.9859,621.9859,0.0
2024-02-28,597.8488,621.16394,621.16394,0.0
2024-02-29,597.8488,623.39703,623.39703,0.0
2024-03-01,602.7501,629.24963,629.24963,0.8732525110244751
2024-03-04,602.18567,628.57477,628.57477,0.8732525110244751
2024-03-05,602.18567,622.2928,622.2928,0.0
2024-03-06,602.18567,625.4461,625.4461,0.0
2024-03-07,602.18567,631.65454,631.65454,0.0
2024-03-08,602.18567,627.8632,627.8632,0.0
2024-03-11,602.18567,627.32336,627.32336,0.0
2024-03-12,602.18567,634.0718,634.0718,0.0
2024-03-13,602.18567,633.0778,633.0778,0.0
2024-03-14,602.18567,631.8264,631.8264,0.0
2024-03-15,602.18567,627.4879,627.4879,0.0
2024-03-18,602.18567,631.21716,631.21716,0.0
2024-03-19,605.1079,634.725,634.725,0.8732525110244751
2024-03-20,605.1079,640.59576,640.59576,0.0
2024-03-21,605.1079,642.7127,642.7127,0.0
2024-03-22,604.10614,641.49426,641.49426,0.8732525110244751
2024-03-25,604.10614,639.722,639.722,0.0
2024-03-26,603.1317,638.54034,638.54034,0.8732525110244751
2024-03-27,607.558,643.90656,643.90656,0.8732525110244751
2024-03-28,607.558,643.78345,643.78345,0.0
2024-04-01,607.558,642.6633,642.6633,0.0
2024-04-02,607.558,638.57733,638.57733,0.0
2024-04-03,607.558,639.2787,639.2787,0.0
2024-04-04,607.558,631.47565,631.47565,0.0
2024-04-05,607.558,638.0727,638.0727,0.0
2024-04-08,607.558,638.42957,638.42957,0.0
2024-04-09,607.558,639.168,639.168,0.0
2024-04-10,607.558,632.768,632.768,0.0
2024-04-11,607.558,637.5434,637.5434,0.0
2024-04-12,607.558,628.7434,628.7434,0.0
2024-04-15,600.9112,620.86646,620.86646,0.8732544779777527
2024-04-16,600.9112,619.73413,619.73413,0.0
2024-04-17,600.9112,616.0664,616.0664,0.0
2024-04-18,600.9112,614.79865,614.79865,0.0
2024-04-19,600.9112,609.4325,609.4325,0.0
2024-04-22,600.9112,615.04486,615.04486,0.0
2024-04-23,600.9112,622.3434,622.3434,0.0
2024-04-24,600.9112,622.0479,622.0479,0.0
2024-04-25,600.9112,619.6849,619.6849,0.0
2024-04-26,605.8826,625.5557,625.5557,0.8732530474662781
2024-04-29,607.75635,627.7711,627.7711,0.8732528686523438
2024-04-30,599.349,617.8265,617.8265,0.8732530474662781
2024-05-01,597.6495,615.8204,615.8204,0.8732549548149109
2024-05-02,602.531,621.5804,621.5804,0.8732528686523438
2024-05-03,609.0529,629.28503,629.28503,0.8732525110244751
2024-05-06,614.54535,635.78357,635.78357,0.8732525110244751
2024-05-07,615.1375,636.4851,636.4851,0.8732525110244751
2024-05-08,615.1895,636.5467,636.5467,0.8732525110244751
2024-05-09,618.2849,640.21436,640.21436,0.8732525110244751
2024-05-10,618.2849,641.03906,641.03906,0.0
2024-05-13,618.3573,641.12506,641.12506,0.8732525110244751
2024-05-14,620.83484,644.06665,644.06665,0.8732525110244751
2024-05-15,627.5483,652.0423,652.0423,0.8732525110244751
2024-05-16,627.5483,650.7007,650.7007,0.0
2024-05-17,628.336,651.63605,651.63605,0.8732525110244751
2024-05-20,628.336,652.38684,652.38684,0.0
2024-05-21,629.68164,653.9868,653.9868,0.8732525110244751
2024-05-22,629.68164,652.10376,652.10376,0.0
2024-05-23,629.68164,647.3407,647.3407,0.0
2024-05-24,629.68164,651.6239,651.6239,0.0
2024-05-28,629.68164,652.07916,652.07916,0.0
2024-05-29,629.68164,647.51306,647.51306,0.0
2024-05-30,629.68164,643.2176,643.2176,0.0
2024-05-31,629.68164,649.0761,649.0761,0.0
2024-06-03,629.68164,649.6053,649.6053,0.0
2024-06-04,629.68164,650.3315,650.3315,0.0
2024-06-05,629.68164,658.0608,658.0608,0.0
2024-06-06,629.68164,658.04846,658.04846,0.0
2024-06-07,629.0132,657.24854,657.24854,0.8732525110244751
2024-06-10,630.7103,659.2793,659.2793,0.8732525110244751
2024-06-11,632.03674,660.867,660.867,0.8732525110244751
2024-06-12,632.03674,666.2948,666.2948,0.0
2024-06-13,633.14795,667.6363,667.6363,0.8732525110244751
2024-06-14,633.4844,668.0425,668.0425,0.8732525110244751
2024-06-17,637.8872,673.3594,673.3594,0.8732525110244751
2024-06-18,637.8872,675.0702,675.0702,0.0
2024-06-20,637.8872,673.2364,673.2364,0.0
2024-06-21,637.8872,672.33386,672.33386,0.0
