Date,Open,High,Low,Close,Volume
2014-08-22,517.94,524.44,500.57,516.1,6026.98
2014-08-23,516.1,516.82,493.98,497.68,3130.85
2014-08-24,497.68,514.82,496.81,509.71,2533.3
2014-08-25,509.71,511.33,499.71,502.93,2737.95
2014-08-26,502.93,516.04,501.81,512.56,3530.19
2014-08-27,512.56,527.37,512.66,515.23,3785.72
2014-08-28,515.23,521.59,503.34,510.75,4465.72
2014-08-29,510.75,515.18,506.69,512.56,3641.78
2014-08-30,512.56,512.91,503.12,505.96,2631.22
2014-08-31,505.96,508.34,478.31,481.78,6094.87
2014-09-01,481.78,487.47,471.78,477.19,6785.79
2014-09-02,477.19,486.99,470.54,478.94,6751.24
2014-09-03,478.94,487.29,476.82,480.04,6140.33
2014-09-04,480.04,498.47,476.26,490.99,8807.05
2014-09-05,490.99,495.02,483.07,483.65,6038.09
2014-09-06,483.65,491.38,480.79,484.47,3791.0
2014-09-07,484.47,490.72,478.49,485.75,3562.92
2014-09-08,485.75,487.02,469.5,475.69,8140.06
2014-09-09,475.69,478.6,467.52,474.9,7289.11
2014-09-10,474.9,491.04,471.57,479.7,8292.88
2014-09-11,479.7,488.92,474.57,478.49,6289.68
2014-09-12,478.49,479.71,471.14,477.73,5145.48
2014-09-13,477.73,480.64,474.64,478.17,5274.65
2014-09-14,478.17,480.33,471.96,477.74,4205.73
2014-09-15,477.74,479.28,473.7,477.71,5629.86
2014-09-16,477.71,478.81,463.95,466.75,6522.37
2014-09-17,466.75,469.39,458.27,461.09,7504.98
2014-09-18,461.09,462.26,408.77,424.26,8924.54
2014-09-19,424.26,429.17,386.1,397.67,14968.82
2014-09-20,397.67,427.69,387.5,411.53,14289.35
2014-09-21,411.53,415.07,394.52,401.62,10421.33
2014-09-22,401.62,410.75,398.6,404.09,13514.58
2014-09-23,404.09,445.51,394.75,436.86,17940.15
2014-09-24,436.86,439.19,422.1,423.77,21365.64
2014-09-25,423.77,427.55,409.56,412.29,14627.1
2014-09-26,412.29,416.42,399.7,404.46,12115.07
2014-09-27,404.46,407.07,394.69,399.02,9735.27
2014-09-28,399.02,402.27,374.12,379.08,13937.15
2014-09-29,379.08,389.26,372.63,376.77,20684.56
2014-09-30,376.77,395.18,374.73,388.17,16921.07
2014-10-01,388.17,395.13,381.11,382.84,17730.98
2014-10-02,382.84,385.59,371.2,375.14,14300.82
2014-10-03,375.14,378.22,362.81,363.45,16807.97
2014-10-04,363.45,369.88,327.1,335.32,23035.97
2014-10-05,335.32,344.25,294.92,322.86,29851.16
2014-10-06,322.86,347.94,303.05,331.55,41171.56
2014-10-07,331.55,345.51,321.74,331.65,30173.83
2014-10-08,331.65,351.64,325.43,350.87,21769.57
2014-10-09,350.87,384.61,347.57,360.91,35591.34
2014-10-10,360.91,378.13,353.32,361.71,28410.42
2014-10-11,361.71,370.15,350.49,361.22,13926.45
2014-10-12,361.22,374.57,352.25,373.17,11227.53
2014-10-13,373.17,391.22,366.04,387.32,23576.02
2014-10-14,387.32,407.74,385.72,397.1,28866.7
2014-10-15,397.1,397.87,388.23,393.17,22484.5
2014-10-16,393.17,398.84,371.56,379.77,20785.9
2014-10-17,379.77,384.76,372.42,380.48,16567.87
2014-10-18,380.48,395.71,373.58,390.88,9445.79
2014-10-19,390.88,394.49,383.92,387.28,5325.52
2014-10-20,387.28,387.77,378.42,380.39,10555.47
2014-10-21,380.39,388.24,377.42,382.35,9662.14
2014-10-22,382.35,383.69,376.97,378.93,10531.04
2014-10-23,378.93,381.08,353.48,355.78,19121.88
2014-10-24,355.78,360.87,351.41,355.1,20034.01
2014-10-25,355.1,356.57,341.53,346.72,14042.93
2014-10-26,346.72,356.8,344.19,348.67,11577.83
2014-10-27,348.67,356.35,344.93,350.09,10603.46
2014-10-28,350.09,355.72,348.27,351.06,9430.8
2014-10-29,351.06,352.83,334.72,335.12,12263.9
2014-10-30,335.12,350.38,333.44,344.86,16120.98
2014-10-31,344.86,347.97,336.08,337.87,14003.95
2014-11-01,337.87,339.0,320.74,325.43,13774.48
2014-11-02,325.43,329.76,319.81,322.55,11896.65
2014-11-03,322.55,332.85,321.67,324.24,13433.34
2014-11-04,324.24,328.75,320.11,327.96,15115.03
2014-11-05,327.96,341.98,326.52,338.01,15838.15
2014-11-06,338.01,351.14,335.74,347.67,15649.72
2014-11-07,347.67,351.61,340.18,341.87,15017.27
2014-11-08,341.87,346.29,339.8,343.54,8188.25
2014-11-09,343.54,362.21,341.78,362.04,12627.93
2014-11-10,362.04,374.67,356.6,367.15,22804.61
2014-11-11,367.15,370.99,361.87,365.42,15790.68
2014-11-12,365.42,442.73,365.81,432.03,38528.79
2014-11-13,432.03,480.45,390.88,428.72,58200.73
2014-11-14,428.72,430.18,381.99,396.53,35731.03
2014-11-15,396.53,407.32,367.97,374.86,13328.33
2014-11-16,374.86,390.36,370.54,385.61,14350.82
2014-11-17,385.61,412.33,378.32,384.69,27600.89
2014-11-18,384.69,394.94,371.95,379.16,27093.72
2014-11-19,379.16,389.29,374.26,381.43,19867.47
2014-11-20,381.43,383.03,355.11,357.3,21984.22
2014-11-21,357.3,358.73,343.8,351.77,23467.39
2014-11-22,351.77,364.21,350.51,352.01,12943.87
2014-11-23,352.01,370.59,352.64,365.85,12413.55
2014-11-24,365.85,388.72,361.92,378.85,24564.84
2014-11-25,378.85,395.73,370.64,376.43,45317.22
2014-11-26,376.43,378.27,363.99,365.35,23979.74
2014-11-27,365.35,374.43,364.81,368.83,13849.29
2014-11-28,368.83,383.25,358.37,377.59,43015.35
2014-11-29,377.59,389.3,372.21,376.28,83451.95
2014-11-30,376.28,381.06,372.57,374.93,11289.41
2014-12-01,374.93,383.58,373.02,378.61,19673.15
2014-12-02,378.61,384.87,375.37,380.64,25285.47
2014-12-03,380.64,384.67,373.64,376.96,23504.51
2014-12-04,376.96,380.43,366.24,369.84,25331.17
2014-12-05,369.84,379.7,366.39,377.63,29989.83
2014-12-06,377.63,380.33,372.04,376.26,11072.87
2014-12-07,376.26,377.88,372.46,376.47,8811.71
2014-12-08,376.47,377.36,364.6,364.95,22917.66
2014-12-09,364.95,365.35,343.82,352.19,43827.16
2014-12-10,352.19,354.07,345.09,347.94,27133.46
2014-12-11,347.94,367.13,337.8,347.68,51080.97
2014-12-12,347.68,356.43,346.0,353.4,26850.92
2014-12-13,353.4,353.1,343.81,348.24,19542.41
2014-12-14,348.24,351.59,344.61,349.35,12342.41
2014-12-15,349.35,351.22,343.56,345.37,22160.68
2014-12-16,345.37,346.45,328.88,330.22,38589.75
2014-12-17,330.22,335.67,314.31,320.02,61338.52
2014-12-18,320.02,325.62,303.4,310.34,60516.23
2014-12-19,310.34,320.24,306.36,317.78,41711.62
2014-12-20,317.78,332.62,316.05,330.35,29920.43
2014-12-21,330.35,332.03,320.13,322.63,20668.93
2014-12-22,322.63,335.26,319.89,330.84,35363.79
2014-12-23,330.84,339.32,328.0,335.25,24066.78
2014-12-24,335.25,336.28,320.65,322.4,21524.09
2014-12-25,322.4,323.38,316.3,318.99,15388.54
2014-12-26,318.99,332.88,316.36,329.98,23005.85
2014-12-27,329.98,330.7,311.98,315.34,21631.92
2014-12-28,315.34,322.84,310.5,316.53,20414.2
2014-12-29,316.53,321.61,308.28,314.12,20355.29
2014-12-30,314.12,316.18,309.25,311.27,22777.45
2014-12-31,311.27,319.09,308.89,318.24,20496.34
2015-01-01,318.24,321.36,313.54,314.89,12820.26
2015-01-02,314.89,316.4,313.08,315.21,14728.97
2015-01-03,315.21,315.83,284.89,287.13,47366.46
2015-01-04,287.13,289.94,255.87,264.72,88769.22
2015-01-05,264.72,278.32,262.89,274.84,54993.28
2015-01-06,274.84,285.11,271.52,282.27,21939.38
2015-01-07,282.27,296.06,280.74,291.34,30666.87
2015-01-08,291.34,292.71,278.99,282.69,20182.8
2015-01-09,282.69,290.59,277.28,287.97,20924.65
2015-01-10,287.97,289.25,271.98,273.35,14724.72
2015-01-11,273.35,278.01,263.76,264.77,15111.35
2015-01-12,264.77,273.08,263.3,269.33,25384.85
2015-01-13,269.33,269.1,217.1,221.29,95497.81
2015-01-14,221.29,230.86,157.29,164.92,170682.75
2015-01-15,164.92,231.26,164.55,209.78,124666.16
2015-01-16,209.78,222.63,198.72,206.92,62321.12
2015-01-17,206.92,212.59,191.71,199.65,43131.44
2015-01-18,199.65,220.73,192.51,210.62,40367.48
2015-01-19,210.62,219.48,205.47,215.87,31578.61
2015-01-20,215.87,216.57,203.42,210.55,37484.43
2015-01-21,210.55,229.32,207.11,228.17,43184.11
2015-01-22,228.17,238.78,225.57,232.7,53706.05
